City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,16.18,74,98,1.37,NZ,1706411715
1,konarka,19.9,86.1167,19.22,55,30,2.94,IN,1706411715
2,bilibino,68.0546,166.4372,-27.06,99,100,2.61,RU,1706411716
3,happy valley-goose bay,53.3168,-60.3315,-1.83,74,75,4.12,CA,1706411716
4,jiayuguan,39.8167,98.3,-5.08,29,1,1.04,CN,1706411716
5,gebre guracha,9.8,38.4,14.33,65,90,1.06,ET,1706411716
6,anadyr,64.75,177.4833,-29.72,74,20,4.0,RU,1706411717
7,yellowknife,62.456,-114.3525,-16.99,97,100,4.02,CA,1706411542
8,popondetta,-8.7537,148.2534,30.23,66,78,3.23,PG,1706411717
9,albany,42.6001,-73.9662,3.03,82,100,0.43,US,1706411718
10,luanda,-8.8368,13.2343,25.92,85,52,2.4,AO,1706411718
11,grytviken,-54.2811,-36.5092,6.25,93,100,3.82,GS,1706411718
12,georgetown,5.4112,100.3354,31.08,62,20,3.09,MY,1706411718
13,tiksi,71.6872,128.8694,-24.42,85,87,5.45,RU,1706411593
14,ilulissat,69.2167,-51.1,-36.26,84,64,2.4,GL,1706411719
15,nishinoomote,30.7333,131.0,10.31,87,75,6.69,JP,1706411719
16,ushuaia,-54.8,-68.3,7.38,91,99,3.12,AR,1706411673
17,martapura,-3.4167,114.85,29.05,84,40,1.03,ID,1706411720
18,port-aux-francais,-49.35,70.2167,7.76,89,97,11.97,TF,1706411596
19,zemio,5.0314,25.1361,20.48,30,99,1.95,CF,1706411481
20,edinburgh of the seven seas,-37.0676,-12.3116,14.75,71,100,12.04,SH,1706411721
21,vorgashor,67.5833,63.95,-12.2,96,99,4.73,RU,1706411721
22,port macquarie,-31.4333,152.9167,26.05,93,100,3.76,AU,1706411721
23,qaqortoq,60.7167,-46.0333,-26.67,70,1,4.02,GL,1706411596
24,salinopolis,-0.6136,-47.3561,26.24,86,66,4.07,BR,1706411722
25,dodge city,37.7528,-100.0171,2.64,85,0,3.6,US,1706411722
26,port-vila,-17.7338,168.3219,31.78,66,75,3.09,VU,1706411723
27,punta del este,-34.9667,-54.95,20.06,83,0,3.09,UY,1706411723
28,beja,36.7256,9.1817,10.81,93,22,0.19,TN,1706411723
29,cadale,2.7603,46.3222,26.2,84,16,6.02,SO,1706411723
30,adamstown,-25.066,-130.1015,24.8,74,100,5.04,PN,1706411449
31,tsiombe,-25.3,45.4833,23.31,86,10,4.54,MG,1706411594
32,ust-nera,64.5667,143.2,-38.66,98,78,2.83,RU,1706411724
33,luderitz,-26.6481,15.1594,17.35,92,84,2.55,NA,1706411725
34,valparaiso,-33.0393,-71.6273,19.71,75,100,3.09,CL,1706411592
35,kendari,-3.945,122.4989,29.27,73,100,0.81,ID,1706411725
36,hagere hiywet,8.9833,37.85,14.05,87,37,2.12,ET,1706411725
37,bredasdorp,-34.5322,20.0403,20.1,77,100,1.94,ZA,1706411726
38,whitehorse,60.7161,-135.0538,1.43,86,75,7.72,CA,1706411726
39,blackmans bay,-43.0167,147.3167,23.07,66,71,3.69,AU,1706411726
40,slave lake,55.2834,-114.769,-3.01,86,75,1.54,CA,1706411727
41,touros,-5.1989,-35.4608,27.06,79,95,4.84,BR,1706411727
42,hamilton,39.1834,-84.5333,7.0,96,100,11.32,US,1706411728
43,utrik,11.2278,169.8474,25.31,64,100,4.81,MH,1706411728
44,puerto ayora,-0.7393,-90.3518,26.41,77,87,2.72,EC,1706411728
45,acarau,-2.8856,-40.12,26.52,84,98,4.77,BR,1706411728
46,hotan,37.0997,79.9269,-3.81,47,63,0.42,CN,1706411729
47,sitka,57.0531,-135.33,6.94,87,100,2.06,US,1706411729
48,lebu,-37.6167,-73.65,14.36,86,8,7.66,CL,1706411729
49,karratha,-20.7377,116.8463,28.88,63,73,6.41,AU,1706411730
50,phalodi,27.1333,72.3667,17.01,25,100,1.44,IN,1706411730
51,tazacorte,28.629,-17.9293,20.54,28,0,5.36,ES,1706411730
52,chui,-33.6971,-53.4616,19.84,79,76,3.44,UY,1706411731
53,nadym,65.5333,72.5167,-10.11,94,100,4.04,RU,1706411731
54,waitangi,-43.9535,-176.5597,18.79,98,98,7.05,NZ,1706411731
55,port saint john's,-31.6229,29.5448,21.81,83,14,1.39,ZA,1706411732
56,port elizabeth,-33.918,25.5701,19.06,96,75,4.12,ZA,1706411732
57,walvis bay,-22.9575,14.5053,17.83,82,11,2.46,NA,1706411732
58,wailua homesteads,22.0669,-159.378,26.53,62,0,7.2,US,1706411733
59,olonkinbyen,70.9221,-8.7187,-4.38,81,100,15.16,SJ,1706411733
60,avarua,-21.2078,-159.775,31.03,74,20,3.6,CK,1706411733
61,magadan,59.5667,150.8,-18.57,74,40,1.19,RU,1706411733
62,beyneu,45.3167,55.2,-3.63,84,46,6.74,KZ,1706411734
63,toliara,-23.35,43.6667,23.88,75,0,1.61,MG,1706411734
64,deming,32.2687,-107.7586,6.94,53,0,1.54,US,1706411734
65,pandan,14.0453,124.1694,25.78,71,99,8.45,PH,1706411735
66,mareeba,-17.0,145.4333,33.02,66,100,3.32,AU,1706411735
67,paka,4.6374,103.4368,27.96,78,40,3.6,MY,1706411736
68,lerwick,60.1545,-1.1494,9.0,81,100,12.55,GB,1706411736
69,aykhal,66.0,111.5,-25.16,77,0,1.57,RU,1706411736
70,klyuchi,52.2667,79.1667,-12.74,96,99,3.07,RU,1706411737
71,americus,32.0724,-84.2327,18.77,100,100,3.6,US,1706411737
72,buala,-8.145,159.5921,28.73,73,96,3.22,SB,1706411737
73,thompson,55.7435,-97.8558,-4.91,100,100,2.06,CA,1706411737
74,punta arenas,-53.15,-70.9167,11.06,66,0,6.17,CL,1706411738
75,kodiak,57.79,-152.4072,-9.27,62,0,2.57,US,1706411738
76,namibe,-15.1961,12.1522,23.12,83,25,2.21,AO,1706411739
77,sur,22.5667,59.5289,21.58,69,31,3.51,OM,1706411739
78,papatowai,-46.5619,169.4708,14.94,79,100,3.73,NZ,1706411739
79,thap khlo,16.16,100.5966,29.57,40,52,4.77,TH,1706411740
80,novyy urgal,51.0736,132.5642,-16.34,86,100,0.3,RU,1706411740
81,atafu village,-8.5421,-172.5159,29.36,69,7,1.55,TK,1706411740
82,arno,60.1167,18.6333,2.66,93,100,4.19,SE,1706411740
83,askino,56.0901,56.5783,-19.12,98,85,1.55,RU,1706411741
84,vilyuchinsk,52.9306,158.4028,-2.85,87,100,1.44,RU,1706411741
85,fortuna,40.5982,-124.1573,15.55,93,100,3.13,US,1706411741
86,polyarnyy,69.1989,33.4478,0.82,82,91,15.74,RU,1706411741
87,le port,-20.9373,55.2919,26.98,84,98,2.08,RE,1706411742
88,talnakh,69.4865,88.3972,-12.66,93,100,5.55,RU,1706411742
89,puerto natales,-51.7236,-72.4875,8.13,88,88,2.09,CL,1706411742
90,haiku-pauwela,20.9219,-156.3051,25.02,76,40,8.75,US,1706411742
91,chernyshevskiy,63.0128,112.4714,-36.24,99,54,0.74,RU,1706411743
92,libenge,3.65,18.6333,21.32,38,2,1.96,CD,1706411743
93,mahanoro,-19.9,48.8,23.35,87,52,3.21,MG,1706411743
94,quellon,-43.1167,-73.6167,10.93,81,100,3.77,CL,1706411743
95,praia da vitoria,38.7333,-27.0667,14.14,72,75,11.75,PT,1706411744
96,kijang,35.2442,129.2139,4.85,32,3,1.74,KR,1706411744
97,serang,-6.1149,106.1502,29.09,72,69,4.36,ID,1706411744
98,port mathurin,-19.6833,63.4167,28.05,89,40,4.12,MU,1706411744
99,kone,-21.0595,164.8658,31.18,52,93,3.44,NC,1706411745
100,ceeldheer,3.8488,47.1806,25.67,88,46,5.45,SO,1706411745
101,niimi,34.9833,133.4667,8.22,85,100,1.32,JP,1706411745
102,hermanus,-34.4187,19.2345,18.78,72,100,3.86,ZA,1706411745
103,mazagao,-0.115,-51.2894,26.03,93,62,2.0,BR,1706411570
104,ust'-charyshskaya pristan',52.3934,83.6635,-10.95,96,100,0.8,RU,1706411746
105,saipan,15.1355,145.701,28.39,61,75,7.72,MP,1706411746
106,harstad,68.799,16.5293,0.66,96,100,12.96,NO,1706411746
107,howrah,22.5892,88.3103,16.0,72,20,1.54,IN,1706411746
108,palikir - national government center,6.9248,158.1611,30.47,74,75,6.17,FM,1706411747
109,iqaluit,63.7506,-68.5145,-36.84,59,20,8.23,CA,1706411747
110,susuman,62.7833,148.1667,-40.01,99,86,0.45,RU,1706411747
111,mournies,35.4764,24.0092,11.57,93,75,0.0,GR,1706411747
112,usogorsk,63.4106,48.6872,-9.63,95,100,3.45,RU,1706411748
113,bayanhongor,46.7167,100.1167,-20.73,68,1,1.1,MN,1706411748
114,jiuquan,39.7432,98.5174,-5.22,28,0,1.59,CN,1706411748
115,ribeira grande,38.5167,-28.7,13.21,75,100,1.34,PT,1706411748
116,isafjordur,66.0755,-23.124,-2.43,88,100,3.99,IS,1706411749
117,san patricio,28.017,-97.5169,14.95,71,0,3.12,US,1706411749
118,west island,-12.1568,96.8225,28.99,74,47,8.23,CC,1706411749
119,east london,-33.0153,27.9116,20.52,88,0,4.12,ZA,1706411749
120,porto velho,-8.7619,-63.9039,24.03,94,20,0.0,BR,1706411749
121,el calafate,-50.3408,-72.2768,9.61,73,22,4.22,AR,1706411750
122,karachi,24.9056,67.0822,12.9,58,32,2.06,PK,1706411705
123,kasane,-17.8167,25.15,17.41,68,1,1.27,BW,1706411750
124,ovalle,-30.5983,-71.2003,22.3,67,0,1.64,CL,1706411751
125,stanley,54.868,-1.6985,5.16,85,40,3.09,GB,1706411751
126,ulladulla,-35.35,150.4667,28.2,76,100,3.03,AU,1706411751
127,queenstown,-31.8976,26.8753,16.81,81,71,1.77,ZA,1706411466
128,umluj,25.0213,37.2685,17.56,55,70,3.45,SA,1706411751
129,nar'yan-mar,67.6713,53.087,-9.57,93,95,6.86,RU,1706411752
130,pangody,65.85,74.4859,-10.24,96,100,3.47,RU,1706411752
131,margaret river,-33.95,115.0667,18.71,71,100,7.28,AU,1706411426
132,baotou,40.6522,109.8222,-12.06,79,10,1.57,CN,1706411752
133,crane,31.3974,-102.3501,10.82,40,0,0.11,US,1706411517
134,tazovsky,67.4667,78.7,-10.9,95,100,4.39,RU,1706411753
135,kish,26.5578,54.0194,21.15,64,0,6.17,IR,1706411753
136,sechura,-5.5569,-80.8222,24.99,74,94,4.31,PE,1706411753
137,lebork,54.5392,17.7501,4.95,88,99,3.29,PL,1706411753
138,udachny,66.4167,112.4,-32.95,96,10,1.56,RU,1706411754
139,saint-philippe,-21.3585,55.7679,25.77,89,92,5.38,RE,1706411754
140,keflavik,64.0049,-22.5624,-0.05,93,75,4.12,IS,1706411754
141,xinqing,48.2333,129.5,-12.26,84,100,0.93,CN,1706411754
142,collaroy,-33.7382,151.2997,29.56,68,100,3.13,AU,1706411755
143,vuktyl,63.8567,57.3094,-17.72,97,97,3.11,RU,1706411755
144,korla,41.7597,86.1469,-8.56,80,70,2.56,CN,1706411755
145,gananoque,44.3334,-76.1661,1.09,86,100,1.86,CA,1706411756
146,hammerfest,70.6634,23.6821,3.25,65,75,16.98,NO,1706411756
147,fort bragg,35.139,-79.006,20.08,91,100,4.12,US,1706411756
148,harrison,30.4091,-89.0436,14.04,74,0,6.71,US,1706411590
149,fort mcmurray,56.7268,-111.381,0.77,93,40,1.03,CA,1706411757
150,yeppoon,-23.1333,150.7333,33.88,78,100,6.08,AU,1706411757
151,weno,7.4515,151.8468,30.97,66,75,5.14,FM,1706411757
152,san fernando,15.0286,120.6898,27.97,50,56,6.13,PH,1706411655
153,pacific grove,36.6177,-121.9166,17.5,75,0,2.06,US,1706411758
154,acajutla,13.5928,-89.8275,26.38,80,5,2.6,SV,1706411758
155,chibougamau,49.9168,-74.3659,-1.21,100,100,2.06,CA,1706411758
156,shenjiamen,29.9576,122.298,6.46,47,0,5.9,CN,1706411758
157,barclayville,4.6797,-8.2339,25.24,89,31,0.88,LR,1706411759
158,morondava,-20.2833,44.2833,25.48,75,1,3.6,MG,1706411759
159,portland,45.5234,-122.6762,15.61,93,100,2.24,US,1706411670
160,nuuk,64.1835,-51.7216,-14.66,72,100,2.57,GL,1706411759
161,arnprior,45.4334,-76.3494,1.19,99,100,1.2,CA,1706411739
162,egersund,58.4513,5.9997,6.88,97,95,4.47,NO,1706411760
163,enewetak,11.3474,162.3373,25.66,68,98,4.27,MH,1706411760
164,la ronge,55.1001,-105.2842,-2.86,86,20,2.06,CA,1706411760
165,aktau,43.65,51.2,-0.68,75,100,1.92,KZ,1706411761
166,okha,53.5739,142.9478,-10.96,90,100,3.98,RU,1706411761
167,bethel,41.3712,-73.414,4.24,90,100,0.0,US,1706411356
168,tofol,5.3248,163.0078,29.88,62,75,3.6,FM,1706411761
169,broome,42.2506,-75.833,4.81,94,100,0.0,US,1706411761
170,goseong,34.9763,128.3236,4.02,46,2,4.13,KR,1706411762
171,kendall west,25.7065,-80.4388,24.01,93,0,2.57,US,1706411762
172,tsagan aman,47.5639,46.7218,-3.35,96,100,4.2,RU,1706411762
173,bikenibeu village,1.3673,173.1241,26.98,85,100,2.57,KI,1706411763
174,mount gambier,-37.8333,140.7667,25.43,44,74,3.24,AU,1706411763
175,flying fish cove,-10.4217,105.6791,28.82,74,100,4.12,CX,1706411763
176,stornoway,58.2093,-6.3865,9.98,89,100,16.46,GB,1706411764
177,milazzo,38.2212,15.2383,14.21,87,51,1.34,IT,1706411764
178,ridder,50.355,83.5133,-7.71,91,100,1.74,KZ,1706411765
179,darwin,-12.4611,130.8418,27.19,88,75,5.14,AU,1706411765
180,guercif,34.2257,-3.3536,12.52,40,10,0.21,MA,1706411765
181,shadrinsk,56.0852,63.6335,-15.78,97,96,2.09,RU,1706411766
182,chibuto,-24.6867,33.5306,20.11,89,70,0.68,MZ,1706411766
183,naze,28.3667,129.4833,14.51,65,92,8.13,JP,1706411729
184,kerikeri,-35.2268,173.9474,22.47,89,100,5.03,NZ,1706411767
185,st. john's,47.5649,-52.7093,-5.8,90,12,2.24,CA,1706411593
186,sidareja,-7.4846,108.7923,29.99,75,44,0.3,ID,1706411767
187,badger,64.8,-147.5333,-37.86,66,40,0.0,US,1706411767
188,shushtar,32.0455,48.8567,12.12,66,8,1.5,IR,1706411768
189,inhambane,-23.865,35.3833,21.99,94,40,0.0,MZ,1706411768
190,port alfred,-33.5906,26.891,21.21,97,68,0.89,ZA,1706411769
191,hawaiian paradise park,19.5933,-154.9731,27.16,77,0,4.63,US,1706411769
192,saarijarvi,62.7049,25.254,-0.91,95,79,3.73,FI,1706411769
193,torrington,41.8007,-73.1212,3.47,95,100,0.52,US,1706411770
194,huadian,42.9633,126.7478,-12.31,88,70,0.75,CN,1706411770
195,notodden,59.5594,9.2585,6.67,92,100,1.15,NO,1706411771
196,santa cruz,-17.8,-63.1667,26.26,63,95,3.38,BO,1706411579
197,chonchi,-42.6128,-73.8092,12.56,83,98,1.49,CL,1706411594
198,miri,4.4148,114.0089,29.08,79,40,1.54,MY,1706411772
199,kudahuvadhoo,2.6708,72.8944,27.37,70,12,6.29,MV,1706411772
200,uturoa,-16.7333,-151.4333,28.4,72,37,1.52,PF,1706411772
201,piti village,13.4626,144.6933,27.49,74,100,8.75,GU,1706411773
202,verkhnevilyuysk,63.4453,120.3167,-36.03,100,99,1.17,RU,1706411773
203,nova sintra,14.8667,-24.7167,21.32,70,65,6.34,CV,1706411773
204,hasaki,35.7333,140.8333,11.27,53,100,1.88,JP,1706411774
205,margate,51.3813,1.3862,6.61,81,98,2.68,GB,1706411774
206,alofi,-19.0595,-169.9187,24.94,94,100,2.57,NU,1706411774
207,agat village,13.3886,144.6585,27.52,75,100,8.75,GU,1706411774
208,jamestown,42.097,-79.2353,5.01,99,100,2.57,US,1706411775
209,tindouf,27.6711,-8.1474,11.25,28,0,2.57,DZ,1706411775
210,bubaque,11.2833,-15.8333,25.97,65,88,3.45,GW,1706411776
211,lethem,3.3803,-59.7968,28.08,49,7,5.0,GY,1706411776
212,lazaro cardenas,17.9583,-102.2,24.07,82,0,1.85,MX,1706411776
213,rio grande,-32.035,-52.0986,21.3,81,100,5.08,BR,1706411777
214,piacabucu,-10.4056,-36.4344,26.35,85,99,4.74,BR,1706411777
215,dixon,38.4455,-121.8233,14.96,83,0,3.09,US,1706411778
216,ouadda,8.0777,22.4007,17.17,23,28,2.62,CF,1706411778
217,namtsy,62.7161,129.6658,-36.45,96,37,0.95,RU,1706411778
218,manokwari,-0.8667,134.0833,28.33,73,84,2.15,ID,1706411778
219,chipinge,-20.1883,32.6236,15.01,91,43,1.35,ZW,1706411779
220,tralee,52.2704,-9.7026,9.82,94,95,4.43,IE,1706411779
221,mogocha,53.7333,119.7667,-21.78,64,48,4.68,RU,1706411779
222,sokode,8.9833,1.1333,23.84,31,1,3.09,TG,1706411780
223,constantia,44.1833,28.65,1.5,83,96,6.22,RO,1706411780
224,karatau,43.1667,70.4667,-3.89,96,99,1.22,KZ,1706411780
225,flin flon,54.7682,-101.865,-3.58,90,88,3.82,CA,1706411781
226,gangapur,26.4833,76.7167,16.13,44,54,1.07,IN,1706411781
227,sisimiut,66.9395,-53.6735,-24.92,93,93,3.5,GL,1706411781
228,gambiran satu,-8.3939,114.1464,30.17,67,82,1.55,ID,1706411782
229,smithers,54.7804,-127.1743,3.18,100,100,3.6,CA,1706411782
230,aasiaat,68.7098,-52.8699,-32.06,100,85,2.73,GL,1706411782
231,port augusta,-32.5,137.7667,30.28,21,0,1.49,AU,1706411782
232,port lincoln,-34.7333,135.8667,22.58,59,3,4.15,AU,1706411783
233,argo,37.6333,22.7333,8.06,66,62,2.18,GR,1706411783
234,christchurch,-43.5333,172.6333,27.52,27,42,2.57,NZ,1706411543
235,lower hutt,-41.2167,174.9167,19.62,71,40,9.26,NZ,1706411784
236,afaahiti,-17.75,-149.2833,26.93,76,74,2.5,PF,1706411784
237,castillos,-34.1667,-53.8333,19.42,83,8,3.33,UY,1706411784
238,labrador city,52.9463,-66.9114,-5.05,80,75,4.12,CA,1706411785
239,tura,25.5198,90.2201,18.42,46,0,0.5,IN,1706411785
240,kyzyl,51.7,94.45,-34.43,98,78,0.45,RU,1706411756
241,palu,-0.8917,119.8707,29.62,69,100,1.52,ID,1706411786
242,trinidad,-14.8333,-64.9,25.6,81,69,1.59,BO,1706411786
243,rahimah,26.7079,50.0619,13.12,67,73,4.56,SA,1706411786
244,yardimli,38.9206,48.2372,-0.26,82,100,0.68,AZ,1706411786
245,ta`u,-14.2336,-169.5144,29.38,75,99,5.07,AS,1706411787
246,dudinka,69.4058,86.1778,-12.43,92,100,8.23,RU,1706411787
247,torghay,49.6339,63.4981,-19.71,96,26,3.76,KZ,1706411788
248,longyearbyen,78.2186,15.6401,-4.09,68,20,9.26,SJ,1706411788
249,nouadhibou,20.931,-17.0347,18.99,45,11,5.66,MR,1706411788
250,palmer,42.1584,-72.3287,3.65,84,100,0.38,US,1706411636
251,nieuw amsterdam,5.8833,-55.0833,23.09,84,78,3.96,SR,1706411789
252,karabash,55.4808,60.2157,-11.45,93,99,1.31,RU,1706411790
253,college,64.8569,-147.8028,-37.82,56,40,0.0,US,1706411593
254,saint-marc,19.1082,-72.6938,24.54,68,0,1.17,HT,1706411790
255,kostroma,57.7708,40.9344,-19.32,100,100,0.89,RU,1706411791
256,kanganpur,30.7663,74.1231,12.96,33,100,0.63,PK,1706411791
257,kloulklubed,7.0419,134.2556,26.28,81,77,7.47,PW,1706411791
258,nelson,-41.2833,173.2833,19.68,60,98,5.27,NZ,1706411792
259,plettenberg bay,-34.0527,23.3716,21.27,76,100,0.46,ZA,1706411792
260,kyabe,9.4515,18.9449,20.92,26,7,2.23,TD,1706411792
261,astaneh-ye ashrafiyeh,37.2596,49.9444,6.96,89,100,4.48,IR,1706411793
262,ciudad lazaro cardenas,17.9583,-102.2,24.07,82,0,1.85,MX,1706411793
263,mouila,-1.8685,11.0559,23.89,98,73,0.69,GA,1706411793
264,yuzhno-kurilsk,44.0306,145.8556,0.76,79,100,4.58,RU,1706411794
265,bandundu,-3.3167,17.3667,24.32,78,100,0.75,CD,1706411794
266,acapulco de juarez,16.8634,-99.8901,26.9,78,0,1.03,MX,1706411514
267,male,4.1748,73.5089,28.97,70,20,5.14,MV,1706411794
268,ha'il,27.5219,41.6907,8.01,61,0,3.09,SA,1706411795
269,bayganin,48.6947,55.8742,-12.05,75,100,5.02,KZ,1706411795
270,ramos arizpe,25.55,-100.9667,12.4,56,0,2.59,MX,1706411796
271,nanakuli,21.3906,-158.1547,26.73,67,0,5.66,US,1706411796
272,cobija,-11.0267,-68.7692,22.53,96,56,0.82,BO,1706411796
273,shani,10.2162,12.062,19.44,30,5,1.55,NG,1706411796
274,mingyue,43.1069,128.9217,-7.53,62,18,1.47,CN,1706411797
275,astrakhan,46.3497,48.0408,-4.07,92,100,3.13,RU,1706411797
276,pisco,-13.7,-76.2167,24.03,83,20,1.54,PE,1706411797
277,mejit,10.2753,170.8646,25.09,73,100,4.66,MH,1706411797
278,katsuren-haebaru,26.3369,127.8719,19.43,58,75,9.26,JP,1706411798
279,northam,51.0333,-4.2167,10.92,92,100,5.8,GB,1706411798
280,san julian,21.0167,-102.1667,15.21,22,0,1.14,MX,1706411798
281,tres arroyos,-38.3739,-60.2798,23.28,31,70,4.38,AR,1706411799
282,le vauclin,14.5452,-60.8388,26.03,73,20,4.63,MQ,1706411799
283,coutras,45.0333,-0.1333,9.12,78,100,2.7,FR,1706411799
284,coquimbo,-29.9533,-71.3436,17.85,88,100,2.57,CL,1706411800
285,tolanaro,-25.0319,46.9987,23.35,87,68,3.12,MG,1706411800
286,mwene-ditu,-7.0,23.45,19.0,96,100,0.4,CD,1706411800
287,wladyslawowo,54.7909,18.4009,5.0,87,100,5.32,PL,1706411800
288,kuanda,56.3161,116.0806,-29.15,92,59,0.76,RU,1706411801
289,ulanhot,46.0833,122.0833,-10.61,62,100,2.13,CN,1706411801
290,gadzhiyevo,69.2551,33.3362,0.59,82,93,16.16,RU,1706411801
291,sotnikovskoye,45.0039,43.7772,-1.83,98,100,1.3,RU,1706411802
292,kapa'a,22.0752,-159.319,27.28,60,0,7.2,US,1706411802
293,khanty-mansiysk,61.0042,69.0019,-10.94,85,100,3.13,RU,1706411802
294,minas de marcona,-15.2119,-75.1103,19.46,78,33,3.59,PE,1706411802
295,birjand,32.8663,59.2211,12.26,47,20,6.17,IR,1706411803
296,ataq,14.5377,46.8319,18.14,81,75,2.38,YE,1706411803
297,ed damer,17.5928,33.9592,14.98,33,100,6.05,SD,1706411803
298,perry,37.2506,-83.1999,16.1,97,100,1.71,US,1706411623
299,gadani,25.1185,66.7299,13.12,68,47,2.06,PK,1706411803
300,nchelenge,-9.3451,28.734,20.26,91,59,1.7,ZM,1706411804
